Uuid,Void/Retire,Name,Description,Parent,Tags,IdentifierSourceName,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country,_order:1000
1afaf0d7-2a05-4e89-99ab-102578fb2be6,no,Lorima PHCU,,,Visit Location;,,,,Ikotos Payam,,,,,Ikotos County,Eastern Equatoria State,,,
b87c72ab-122e-4329-b7a7-9bd6d289adbb,no,Loriyok PHCU,,,Visit Location;,,,,Loriyok Payam,,,,,Budi County,Eastern Equatoria State,,,
6c5ad591-bcb0-42a9-a68f-b9f18944ff10,no,Loro PHCU,,,Visit Location;,,,,Liwolo Payam,,,,,Kajo-Keji County,Central Equatoria State,,,
6e1d960e-8926-4e4a-9143-03cc2e9fc3c4,no,Lorumba PHCU,,,Visit Location;,,,,Tore Payam,,,,,Yei County,Central Equatoria State,,,
d5a1f2b1-558f-48e1-ae8a-ea6beb01eaa5,no,Lotemba PHCU,,,Visit Location;,,,,Dolo Payam,,,,,Juba County,Central Equatoria State,,,
80eeefb2-2159-403c-a2a7-913549a1ba8c,no,LOTIMOR PHCU,,,Visit Location;,,,,Lotimor Payam,,,,,Kapoeta East County,Eastern Equatoria State,,,
920cf22a-0c92-44e3-b0c8-4d5a036e96ed,no,Lotome PHCU,,,Visit Location;,,,,Losite Payam,,,,,Ikotos County,Eastern Equatoria State,,,
d8bb2387-0062-4e22-886f-66a1f5934373,no,Loulang PHCU,,,Visit Location;,,,,Kudo Payam,,,,,Torit County,Eastern Equatoria State,,,
4b3292a1-6196-4b3a-8632-bed20339f048,no,Lowirja PHCU,,,Visit Location;,,,,Reggo Payam,,,,,Terekeka County,Central Equatoria State,,,
8dd010c5-39ae-4a74-b4e2-988a79033022,no,Lowoi PHCC,,,Visit Location;,,,,Kudo Payam,,,,,Torit County,Eastern Equatoria State,,,
5588250d-05a2-45f6-bff0-8d12f6e86ea8,no,Lowoyakali PHCU,,,Visit Location;,,,,Katodori Payam,,,,,Kapoeta East County,Eastern Equatoria State,,,
3515cb67-577e-45d0-8e8e-c7c0a96e5835,no,Lozoh PHCU,,,Visit Location;,,,,Lozoh Payam,,,,,Mundri East County,Western Equatoria State,,,
bce10238-c1b1-4f60-9232-dda229167e6b,no,Luakat PHCU,,,Visit Location;,,,,Northern Malakal Payam,,,,,Malakal County,Upper Nile State,,,
69542fe3-80ab-420d-aed9-c314c5a37314,no,Lual PHCU,,,Visit Location;,,,,Padeah Payam,,,,,Leer County,Unity State,,,
8ac68921-ba1d-4b0c-a78e-d872563d8342,no,Lual Yak PHCU,,,Visit Location;,,,,Dingkar Payam,,,,,Luakpiny/Nasir County,Upper Nile State,,,
a89f579a-5a17-42f6-be75-eb7dc458da25,no,Lualdit PHCU,,,Visit Location;,,,,Makuach Payam,,,,,Bor South County,Jonglei State,,,
